image,height,width,method,threshold_low,threshold_high,threshold_main,black_pixels,white_pixels,fuzzy_pixels,defocus_pixels,black_ratio,white_ratio,fuzzy_ratio,defocus_ratio
collision/B22009S00_004_1_20221110144449538_000010_2_3.jpg,911,1082,adaptive,147,177,162,510215,431447,44040,30035,0.517616,0.437705,0.044679,0.030471
collision/B22009S00_004_1_20221206145918678_00000a_0_3.jpg,911,1066,adaptive,197,215,206,677561,280921,12644,0,0.697707,0.289273,0.01302,0.0
collision/B22009S00_004_1_20221223144106330_000007_0_1.jpg,1312,1296,adaptive,127,167,147,306828,38543,1354981,1336671,0.18045,0.022668,0.796883,0.786114
collision/B22009S00_004_1_20230424101510186_000003_3_2.jpg,1312,1296,adaptive,120,160,140,925343,692595,82414,49605,0.544207,0.407324,0.048469,0.029173
collision/B22009S00_004_1_20230424102202505_000002_3_1.jpg,1312,1296,adaptive,191,209,200,218548,1425559,56245,0,0.128531,0.838391,0.033078,0.0
collision/B22009S00_004_1_20240124104032156_000008_0_2.jpg,1312,1296,adaptive,122,160,141,1308745,141389,250218,206709,0.769691,0.083153,0.147157,0.121568
collision/B22009S00_004_1_20240912141647986_00000f_1_1.jpg,1312,1312,adaptive,164,180,172,1641743,58501,21100,0,0.953756,0.033986,0.012258,0.0
collision/B22009S00_004_1_20240923142254871_00000a_1_1.jpg,1312,1312,adaptive,102,118,110,1608832,30295,82217,59276,0.934637,0.0176,0.047763,0.034436
collision/B22009S00_004_1_20241209172821462_000035_0_0.jpg,1296,1296,adaptive,57,73,65,1257679,200544,221393,153054,0.74879,0.119399,0.131812,0.091124
collision/B22009S00_004_2_20220727154652803_000007_3_1.jpg,932,991,adaptive,116,148,132,426579,250306,246727,219945,0.46186,0.271008,0.267133,0.238136
dirt/B22009S00_004_1_20220728135451799_000008_0_1.jpg,927,1066,adaptive,145,177,161,586479,330521,71182,52612,0.593493,0.334474,0.072033,0.053241
dirt/B22009S00_004_1_20221011163400631_000009_2_3.jpg,911,1082,adaptive,145,177,161,480992,448087,56623,41681,0.487969,0.454587,0.057444,0.042286
